Dependents,tenure,InternetService,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
No,24,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),54.15,1240.25,Yes
No,40,DSL,No,No,Yes,No,One year,No,Bank transfer (automatic),63.9,2635.0,No
Yes,3,DSL,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.15,235.0,No
Yes,32,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.85,3089.6,No
No,6,DSL,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,49.15,270.8,Yes
No,59,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,83.25,4949.1,No
No,30,DSL,No,Yes,No,Yes,One year,No,Bank transfer (automatic),70.25,2198.9,No
No,26,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Mailed check,84.3,2281.6,No
No,1,DSL,No,No,No,No,Month-to-month,No,Mailed check,50.75,50.75,No
No,11,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,78.5,874.2,No
No,29,DSL,No,No,No,No,Month-to-month,No,Bank transfer (automatic),48.95,1323.7,No
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Mailed check,70.8,70.8,Yes
No,16,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),89.05,1448.6,Yes
No,3,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.6,291.9,Yes
No,57,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,5921.35,Yes
No,2,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.8,146.65,No
No,72,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),108.1,7774.05,No
No,5,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,50.6,249.95,Yes
No,35,DSL,No,No,Yes,Yes,Month-to-month,No,Electronic check,49.2,1701.65,No
Yes,2,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,71.65,135.75,No
No,26,Fiber optic,No,No,No,No,One year,No,Bank transfer (automatic),75.5,2018.1,No
No,7,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.25,669.0,Yes
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,68.95,68.95,Yes
Yes,4,DSL,No,Yes,No,No,Month-to-month,Yes,Mailed check,58.5,224.85,No
No,48,DSL,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),78.9,3771.5,No
No,1,DSL,No,Yes,No,No,Month-to-month,No,Mailed check,29.15,29.15,No
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,24.45,24.45,Yes
No,42,DSL,No,Yes,No,Yes,Two year,No,Credit card (automatic),66.5,2762.75,No
No,7,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.35,631.85,Yes
No,3,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.6,232.5,No
No,4,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,80.35,307.4,Yes
No,55,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),77.75,4266.4,No
No,1,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,79.05,79.05,Yes
No,1,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,25.2,25.2,Yes
Yes,52,DSL,No,No,Yes,Yes,One year,Yes,Electronic check,80.85,4079.55,No
No,41,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.4,4187.75,Yes
No,43,DSL,No,No,Yes,No,One year,Yes,Mailed check,56.35,2391.15,No
No,3,DSL,No,No,No,No,Month-to-month,No,Bank transfer (automatic),50.4,137.25,No
Yes,55,DSL,No,Yes,No,No,Two year,Yes,Credit card (automatic),55.25,3119.9,No
Yes,12,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.05,966.55,No
No,66,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.2,6936.85,No
No,35,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.4,3496.3,Yes
No,10,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.8,914.3,Yes
Yes,27,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.75,1929.0,No
No,58,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,95.3,5817.7,No
No,6,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,69.1,435.0,No
No,26,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.25,2351.8,Yes
No,8,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,54.75,445.85,No
No,12,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,81.45,912.0,No
No,15,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.1,679.55,Yes
No,42,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.3,4222.95,No
No,18,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,85.45,1505.85,Yes
No,10,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,79.85,797.25,No
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,71.65,71.65,Yes
No,18,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,73.55,1359.45,No
No,24,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.65,2542.45,Yes
Yes,1,DSL,No,No,No,No,Month-to-month,No,Electronic check,44.55,44.55,No
Yes,69,Fiber optic,No,No,Yes,Yes,Two year,Yes,Electronic check,105.0,7297.75,No
No,3,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.25,210.3,Yes
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.2,74.2,Yes
Yes,6,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Mailed check,94.05,518.75,No
No,4,DSL,No,No,No,Yes,Month-to-month,Yes,Mailed check,55.3,238.5,No
No,43,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.0,4388.4,Yes
No,51,DSL,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),78.65,3950.85,No
No,12,DSL,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),74.75,827.05,No
No,64,DSL,No,Yes,No,No,One year,No,Bank transfer (automatic),58.35,3756.45,No
No,4,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,105.65,443.9,Yes
No,26,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.5,2599.95,No
No,36,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.5,3436.1,Yes
No,27,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),95.0,2462.55,No
No,1,Fiber optic,Yes,No,No,No,Month-to-month,No,Mailed check,70.85,70.85,Yes
Yes,8,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,45.45,411.75,No
No,2,DSL,No,No,No,No,Month-to-month,No,Mailed check,49.2,103.7,No
No,46,Fiber optic,No,No,No,No,Month-to-month,No,Bank transfer (automatic),72.8,3249.4,No
Yes,53,DSL,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),65.0,3363.8,No
No,61,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,114.1,7132.15,No
No,54,Fiber optic,No,No,Yes,No,One year,Yes,Bank transfer (automatic),94.75,5121.75,No
Yes,19,DSL,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.35,566.1,No
Yes,26,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Electronic check,105.45,2715.3,No
No,17,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.55,1742.5,No
No,26,DSL,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),73.5,1905.7,No
Yes,21,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.05,1565.7,Yes
No,50,Fiber optic,No,No,Yes,Yes,One year,Yes,Electronic check,98.25,4858.7,No
No,3,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),101.55,298.35,Yes
Yes,9,Fiber optic,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,103.1,970.45,No
No,9,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,43.75,405.7,No
Yes,41,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,111.95,4534.9,Yes
No,22,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.65,2415.95,No
No,1,DSL,Yes,No,No,No,Month-to-month,No,Electronic check,45.75,45.75,Yes
Yes,26,DSL,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),82.0,2083.1,No
No,4,DSL,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.8,176.2,No
No,18,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,88.85,1594.75,No
No,3,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.95,212.4,No
No,11,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,74.95,815.5,Yes
No,1,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),80.15,80.15,Yes
No,7,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,51.3,419.35,No
No,67,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.3,7567.2,No
No,53,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Mailed check,80.6,4348.1,No
No,3,DSL,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),35.2,108.95,Yes
No,1,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Electronic check,78.8,78.8,Yes
No,19,Fiber optic,No,Yes,Yes,No,Month-to-month,No,Mailed check,89.95,1682.4,No
No,47,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.4,5127.95,Yes
Yes,2,Fiber optic,No,No,No,No,Month-to-month,No,Mailed check,69.95,143.9,No
Yes,20,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.2,1776.55,Yes
No,6,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),93.55,536.4,Yes
No,71,Fiber optic,No,Yes,No,No,Two year,Yes,Credit card (automatic),86.4,6172.0,No
No,67,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.65,6079.0,No
No,1,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,80.85,80.85,Yes
Yes,48,Fiber optic,Yes,No,No,Yes,One year,Yes,Mailed check,82.05,4029.95,Yes
No,37,DSL,No,Yes,No,Yes,One year,No,Mailed check,72.1,2658.4,No
No,11,DSL,No,No,No,No,Month-to-month,No,Mailed check,34.7,383.55,No
No,18,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.95,1745.5,No
Yes,50,DSL,No,No,No,No,One year,Yes,Bank transfer (automatic),44.8,2230.85,No
No,2,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.55,149.55,Yes
Yes,1,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Electronic check,78.65,78.65,Yes
No,19,DSL,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),25.15,468.35,No
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,42.9,42.9,Yes
No,1,DSL,No,No,No,No,Month-to-month,No,Electronic check,44.0,44.0,No
Yes,56,Fiber optic,No,No,Yes,Yes,One year,No,Bank transfer (automatic),88.9,4968.0,No
No,72,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.05,7806.6,No
No,6,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,74.4,434.1,Yes
No,17,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.8,1563.9,No
No,29,DSL,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,45.9,1332.4,No
No,6,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,545.2,Yes
No,63,Fiber optic,No,No,Yes,Yes,Two year,No,Electronic check,102.6,6296.75,No
No,16,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),73.85,1284.2,Yes
No,59,DSL,No,No,No,Yes,One year,Yes,Bank transfer (automatic),61.35,3645.5,No
No,3,DSL,No,No,Yes,No,Month-to-month,No,Electronic check,57.55,161.45,No
No,8,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,29.25,226.95,No
No,7,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,84.55,646.85,Yes
No,52,Fiber optic,No,No,Yes,Yes,One year,Yes,Electronic check,106.5,5621.85,No
Yes,1,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.95,69.95,No
No,20,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.8,1727.5,Yes
No,4,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,24.45,86.6,Yes
No,3,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Mailed check,90.7,237.65,No
No,28,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.7,2979.5,Yes
No,8,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,85.2,695.75,No
No,1,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,24.25,24.25,Yes
No,14,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.9,1337.45,No
No,4,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.5,362.2,Yes
No,54,Fiber optic,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),101.5,5373.1,Yes
No,69,DSL,No,No,No,Yes,Two year,Yes,Credit card (automatic),61.45,4131.2,No
No,2,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,69.6,131.65,Yes
No,39,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,4036.0,No
Yes,45,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.75,4900.65,No
Yes,51,DSL,No,Yes,Yes,Yes,One year,Yes,Electronic check,56.15,2898.95,No
No,2,DSL,No,Yes,No,No,Month-to-month,Yes,Mailed check,54.35,117.05,No
No,1,DSL,No,No,No,No,Month-to-month,No,Mailed check,45.35,45.35,No
No,7,DSL,No,No,No,No,Month-to-month,No,Bank transfer (automatic),25.05,189.95,No
No,4,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.8,321.9,Yes
No,20,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,24.45,482.8,Yes
Yes,5,DSL,No,Yes,No,No,Month-to-month,Yes,Mailed check,51.0,286.8,No
No,72,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.45,7982.5,No
Yes,68,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,84.65,5683.6,No
Yes,8,DSL,No,No,No,No,Month-to-month,No,Bank transfer (automatic),44.65,369.15,No
Yes,52,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),93.25,4631.7,No
No,7,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.1,701.3,No
No,5,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,51.35,262.3,No
No,70,DSL,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),84.8,5917.55,No
No,14,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),71.0,914.0,Yes
No,44,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,50.15,2139.1,No
No,46,Fiber optic,No,Yes,Yes,Yes,One year,No,Electronic check,100.25,4753.85,No
No,58,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.9,5780.7,No
No,72,Fiber optic,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),97.7,6869.7,No
No,30,DSL,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,40.3,1172.95,Yes
No,34,DSL,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,56.25,1765.95,No
No,3,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.6,155.35,Yes
Yes,40,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,84.85,3303.05,Yes
Yes,2,DSL,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,65.7,134.35,Yes
Yes,54,DSL,No,No,No,Yes,Two year,No,Credit card (automatic),63.35,3409.1,No
No,10,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.85,953.45,Yes
No,55,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.0,4052.4,No
No,9,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.55,718.55,No
No,58,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,5812.6,Yes
Yes,14,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.8,1346.3,No
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,Yes
No,68,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2,6851.65,Yes
No,1,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Electronic check,78.05,78.05,Yes
No,30,DSL,No,Yes,No,Yes,One year,Yes,Credit card (automatic),40.35,1187.05,No
No,7,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,73.6,520.0,Yes
No,9,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.75,706.6,Yes
No,20,DSL,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),68.9,1370.35,No
No,29,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),76.0,2215.25,No
No,1,Fiber optic,No,Yes,No,No,Month-to-month,No,Electronic check,74.0,74.0,No
Yes,64,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.15,6171.2,No
Yes,7,DSL,No,No,No,No,Month-to-month,No,Electronic check,44.75,333.65,No
Yes,72,Fiber optic,No,No,No,Yes,Two year,Yes,Credit card (automatic),90.8,6511.8,No
No,8,DSL,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.55,393.45,No
No,24,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.55,2264.05,Yes
No,2,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,25.05,56.35,Yes
No,22,DSL,No,No,Yes,No,One year,No,Bank transfer (automatic),65.25,1441.8,No
No,40,Fiber optic,No,No,No,No,Month-to-month,No,Credit card (automatic),74.8,2971.7,No
Yes,26,Fiber optic,No,No,No,Yes,One year,No,Bank transfer (automatic),78.95,2034.25,No
No,27,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.55,2510.2,Yes
No,34,Fiber optic,No,No,No,No,Month-to-month,No,Credit card (automatic),71.55,2427.35,No
No,57,DSL,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,39.3,2111.45,Yes
Yes,34,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.05,2909.95,No
No,10,DSL,No,Yes,No,No,Month-to-month,No,Electronic check,36.25,374.0,No
No,56,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.6,5581.05,No
No,55,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),103.65,5676.65,No
No,1,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,85.45,85.45,Yes
No,24,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,80.5,2088.45,No
No,35,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,39.85,1434.6,No
No,25,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,84.8,2043.45,Yes
No,35,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.2,2576.2,Yes
No,71,DSL,Yes,No,Yes,Yes,Two year,No,Electronic check,49.35,3515.25,Yes
No,7,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.0,605.45,No
No,57,DSL,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.0,3094.05,No
No,6,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.9,469.8,Yes
No,11,DSL,No,No,No,No,Month-to-month,No,Credit card (automatic),45.2,492.0,No
No,2,DSL,No,No,No,No,Month-to-month,No,Mailed check,49.95,107.1,No
Yes,72,Fiber optic,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),110.9,7922.75,No
No,6,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.95,522.35,No
No,50,DSL,No,No,Yes,Yes,One year,No,Bank transfer (automatic),75.7,3876.2,No
No,15,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,1457.25,Yes
No,12,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.55,1066.9,No
No,37,DSL,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),28.6,973.55,Yes
Yes,21,DSL,No,No,No,No,Month-to-month,No,Mailed check,45.65,985.05,No
No,12,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.3,828.05,No
No,2,DSL,Yes,No,No,No,Month-to-month,No,Electronic check,24.35,41.85,Yes
No,62,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,6164.7,No
No,29,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,98.65,2862.75,Yes
Yes,1,DSL,No,Yes,No,No,Month-to-month,No,Mailed check,33.6,33.6,No
No,5,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.9,343.95,Yes
Yes,62,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Electronic check,104.05,6590.5,No
No,28,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,103.3,2890.65,Yes
No,63,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,108.75,6871.7,No
Yes,22,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.75,1816.75,No
No,55,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,104.15,5743.05,Yes
No,5,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.55,408.5,No
No,69,DSL,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),60.8,4263.4,No
Yes,44,DSL,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),54.9,2549.1,No
Yes,61,DSL,No,No,Yes,No,One year,Yes,Electronic check,65.2,3965.05,No
No,1,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,90.6,90.6,Yes
No,6,DSL,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),50.8,288.05,Yes
No,72,Fiber optic,No,Yes,Yes,Yes,Two year,Yes,Electronic check,108.2,7840.6,No
No,14,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,75.1,1013.35,No
No,48,Fiber optic,No,No,No,No,One year,No,Electronic check,75.15,3772.65,No
No,3,Fiber optic,No,No,No,No,Month-to-month,Yes,Mailed check,70.3,220.4,No
No,3,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.85,256.6,Yes
Yes,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,68.5,68.5,Yes
No,1,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Mailed check,69.95,69.95,Yes
No,5,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,70.05,346.4,Yes
Yes,56,DSL,No,No,No,No,One year,Yes,Credit card (automatic),36.1,1971.5,No
No,56,Fiber optic,No,Yes,No,No,Month-to-month,No,Electronic check,90.55,5116.6,No
Yes,10,DSL,No,No,No,Yes,One year,Yes,Mailed check,65.9,660.05,No
No,19,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,56.1,1033.9,No
Yes,22,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.75,1885.15,No
No,13,DSL,Yes,No,Yes,Yes,One year,Yes,Mailed check,75.3,989.45,Yes
No,49,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Electronic check,99.4,5025.0,No
Yes,42,DSL,No,Yes,Yes,Yes,One year,No,Electronic check,73.15,3088.25,No
No,57,DSL,No,Yes,No,No,One year,Yes,Mailed check,54.65,3134.7,No
No,46,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.45,4863.85,No
No,66,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.05,6871.9,Yes
Yes,35,Fiber optic,No,Yes,Yes,No,One year,Yes,Electronic check,89.7,3165.6,No
No,2,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,49.6,114.7,Yes
No,48,Fiber optic,No,No,Yes,Yes,One year,Yes,Electronic check,97.05,4692.95,No
Yes,52,Fiber optic,No,No,Yes,Yes,One year,No,Bank transfer (automatic),101.25,5301.1,No
No,4,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.2,280.35,No
No,32,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Electronic check,90.95,2897.95,No
No,66,Fiber optic,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.95,6975.25,Yes
Yes,3,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Electronic check,91.85,257.05,Yes
Yes,1,DSL,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,40.1,40.1,Yes
No,31,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.9,2217.15,Yes
No,10,DSL,No,No,No,No,Month-to-month,No,Mailed check,46.0,492.1,No
No,37,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.55,3580.3,Yes
No,25,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,69.75,1729.35,No
No,22,DSL,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.6,1073.3,No
No,7,DSL,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),40.1,293.3,Yes
Yes,33,DSL,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),82.1,2603.1,No
No,23,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Mailed check,79.1,1783.75,No
No,24,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,2440.15,Yes
No,1,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Electronic check,79.55,79.55,Yes
No,56,DSL,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),75.75,4284.65,No
No,14,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.35,1058.1,No
No,2,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,123.8,No
No,32,Fiber optic,Yes,No,Yes,No,One year,No,Electronic check,84.05,2781.85,Yes
No,7,Fiber optic,No,No,No,No,Month-to-month,Yes,Mailed check,69.9,497.3,No
No,15,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,51.1,711.15,No
No,18,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.95,1443.65,No
